Genre,Movie Name,Duration,Duration Minutes,Rating,Votes,genre
Action,Alangu,2h 11m,131.0,8.2,1200.0,Scripts\action_movies
Action,Lal Salaam,2h 30m,150.0,4.5,1300.0,Scripts\action_movies
Action,Kahar: Kapla High Council,1h 42m,102.0,6.9,449.0,Scripts\action_movies
Action,Echo 8,1h 36m,96.0,3.9,187.0,Scripts\action_movies
Action,The Bouncer,1h 18m,78.0,4.2,84.0,Scripts\action_movies
Action,Reapers,1h 18m,,8.7,573.0,Scripts\action_movies
Action,Diabel,1h 48m,108.0,5.1,237.0,Scripts\action_movies
Action,Aho Vikramaarka,2h 16m,136.0,7.4,53.0,Scripts\action_movies
Action,Crosspoint,1h 40m,100.0,6.8,39.0,Scripts\action_movies
Action,S.T.A.L.K.E.R.: Shadow of the Zone,1h 12m,72.0,5.2,452.0,Scripts\action_movies
Action,Operation Valentine,2h 13m,133.0,5.3,1400.0,Scripts\action_movies
Action,Mummy Shark,1h 6m,66.0,2.0,176.0,Scripts\action_movies
Action,Pusaka,1h 30m,90.0,6.5,34.0,Scripts\action_movies
Action,Mobile Suit Gundam SEED Freedom,2h 4m,124.0,6.6,944.0,Scripts\action_movies
Action,Jathara,2h 9m,129.0,6.4,1100.0,Scripts\action_movies
Action,What Happens in Miami,1h 30m,90.0,4.3,219.0,Scripts\action_movies
Action,Paradise,1h 23m,83.0,6.9,77.0,Scripts\action_movies
